rep,training_size,model,RelL2,beta_star
16,80,Smooth,0.1060,9.9609
16,100,Smooth,0.1001,9.9609
16,120,Smooth,0.0906,9.9609
16,140,Smooth,0.0883,9.9609
16,160,Smooth,0.0900,10.5469
16,180,Smooth,0.0892,10.5469
16,200,Smooth,0.0922,11.7188
17,20,Smooth,0.3284,8.7891
17,40,Smooth,0.2609,9.3750
17,60,Smooth,0.1685,9.3750
17,80,Smooth,0.1529,9.3750
17,100,Smooth,0.1903,19.9219
17,120,Smooth,0.1840,19.9219
17,140,Smooth,0.1649,19.9219
17,160,Smooth,0.1545,19.9219
17,180,Smooth,0.1519,19.9219
17,200,Smooth,0.1509,19.9219
18,20,Smooth,0.2237,7.0312
18,40,Smooth,0.1796,9.3750
18,60,Smooth,0.1640,10.5469
18,80,Smooth,0.1461,10.5469
18,100,Smooth,0.1415,10.5469
18,120,Smooth,0.1378,10.5469
18,140,Smooth,0.1148,10.5469
18,160,Smooth,0.1128,10.5469
18,180,Smooth,0.1113,10.5469
18,200,Smooth,0.0891,10.5469
19,20,Smooth,0.1286,8.7891
19,40,Smooth,0.1164,8.7891
19,60,Smooth,0.1116,9.3750
19,80,Smooth,0.1064,9.3750
19,100,Smooth,0.0990,9.9609
19,120,Smooth,0.1037,10.5469
19,140,Smooth,0.1025,11.1328
19,160,Smooth,0.0961,11.1328
19,180,Smooth,0.0940,11.1328
19,200,Smooth,0.0901,11.1328
0,20,Additive+Smooth,0.1558,92.5781
0,40,Additive+Smooth,0.1428,15.2344
0,60,Additive+Smooth,0.1397,11.1328
0,80,Additive+Smooth,0.1359,12.3047
0,100,Additive+Smooth,0.0878,21.9727
0,120,Additive+Smooth,0.0874,21.9727
0,140,Additive+Smooth,0.1119,329.5898
0,160,Additive+Smooth,0.1110,794.9219
0,180,Additive+Smooth,0.1169,5.8594
0,200,Additive+Smooth,0.1162,5.8594
1,20,Additive+Smooth,0.1247,14.0625
1,40,Additive+Smooth,0.1178,7.6172
1,60,Additive+Smooth,0.1161,10.5469
1,80,Additive+Smooth,0.1178,751.4648
1,100,Additive+Smooth,0.1137,808.5938
1,120,Additive+Smooth,0.0993,25.8789
1,140,Additive+Smooth,0.1233,765.1367
1,160,Additive+Smooth,0.1150,762.2070
1,180,Additive+Smooth,0.1046,816.4062
1,200,Additive+Smooth,0.1092,812.9883
2,20,Additive+Smooth,0.1308,19.3359
2,40,Additive+Smooth,0.0845,16.6016
2,60,Additive+Smooth,0.1200,48.6328
2,80,Additive+Smooth,0.0963,135.7422
2,100,Additive+Smooth,0.1105,22.8516
2,120,Additive+Smooth,0.1111,264.6484
2,140,Additive+Smooth,0.0793,12.6953
2,160,Additive+Smooth,0.0797,12.6953
2,180,Additive+Smooth,0.0795,12.6953
2,200,Additive+Smooth,0.0820,12.6953
3,20,Additive+Smooth,0.1638,175.1953
3,40,Additive+Smooth,0.1414,16.4062
3,60,Additive+Smooth,0.1393,419.9219
3,80,Additive+Smooth,0.1334,18.1641
3,100,Additive+Smooth,0.1274,18.1641
3,120,Additive+Smooth,0.1203,743.1641
3,140,Additive+Smooth,0.1130,812.9883
3,160,Additive+Smooth,0.1115,814.4531
3,180,Additive+Smooth,0.1192,8.2031
3,200,Additive+Smooth,0.1169,8.2031
4,20,Additive+Smooth,0.0966,273.4375
4,40,Additive+Smooth,0.1121,125.9766
4,60,Additive+Smooth,0.1118,730.4688
4,80,Additive+Smooth,0.1019,77.1484
4,100,Additive+Smooth,0.0965,21.9727
4,120,Additive+Smooth,0.1231,5.2734
4,140,Additive+Smooth,0.1188,5.2734
4,160,Additive+Smooth,0.1173,5.8594
4,180,Additive+Smooth,0.1160,5.8594
4,200,Additive+Smooth,0.1147,5.8594
5,20,Additive+Smooth,0.1620,18.7500
5,40,Additive+Smooth,0.1483,21.6797
5,60,Additive+Smooth,0.0822,36.1328
5,80,Additive+Smooth,0.1021,37.1094
5,100,Additive+Smooth,0.1331,340.3320
5,120,Additive+Smooth,0.1324,572.7539
5,140,Additive+Smooth,0.1342,632.3242
5,160,Additive+Smooth,0.1320,557.1289
5,180,Additive+Smooth,0.1136,799.8047
5,200,Additive+Smooth,0.1018,678.2227
6,20,Additive+Smooth,0.1767,66.2109
6,40,Additive+Smooth,0.1287,718.2617
6,60,Additive+Smooth,0.1189,687.5000
6,80,Additive+Smooth,0.1186,681.1523
6,100,Additive+Smooth,0.1129,741.6992
6,120,Additive+Smooth,0.1041,101.5625
6,140,Additive+Smooth,0.1063,804.1992
6,160,Additive+Smooth,0.1039,664.5508
6,180,Additive+Smooth,0.1035,825.1953
6,200,Additive+Smooth,0.1016,790.0391
7,20,Additive+Smooth,0.1475,9.3750
7,40,Additive+Smooth,0.1447,616.2109
7,60,Additive+Smooth,0.1389,791.5039
7,80,Additive+Smooth,0.0939,13.6719
7,100,Additive+Smooth,0.0997,76.6602
7,120,Additive+Smooth,0.1164,758.7891
7,140,Additive+Smooth,0.1116,770.0195
7,160,Additive+Smooth,0.1059,778.8086
7,180,Additive+Smooth,0.1037,771.9727
7,200,Additive+Smooth,0.1036,780.7617
8,20,Additive+Smooth,0.0960,320.3125
8,40,Additive+Smooth,0.1178,418.4570
8,60,Additive+Smooth,0.1012,16.1133
8,80,Additive+Smooth,0.1198,739.2578
8,100,Additive+Smooth,0.1105,753.4180
8,120,Additive+Smooth,0.1044,760.2539
8,140,Additive+Smooth,0.1061,789.0625
8,160,Additive+Smooth,0.1052,770.0195
8,180,Additive+Smooth,0.1019,770.5078
8,200,Additive+Smooth,0.1035,795.8984
9,20,Additive+Smooth,0.1278,100.7812
9,40,Additive+Smooth,0.1229,10.5469
9,60,Additive+Smooth,0.1151,745.1172
9,80,Additive+Smooth,0.1113,6.4453
9,100,Additive+Smooth,0.1180,8.7891
9,120,Additive+Smooth,0.1057,6.4453
9,140,Additive+Smooth,0.0842,16.6016
9,160,Additive+Smooth,0.0837,21.9727
9,180,Additive+Smooth,0.0852,21.9727
9,200,Additive+Smooth,0.1161,437.9883
10,20,Additive+Smooth,0.1608,74.4141
10,40,Additive+Smooth,0.1245,622.0703
10,60,Additive+Smooth,0.1294,351.5625
10,80,Additive+Smooth,0.1217,681.6406
10,100,Additive+Smooth,0.1174,796.8750
10,120,Additive+Smooth,0.1142,690.9180
10,140,Additive+Smooth,0.1316,13.4766
10,160,Additive+Smooth,0.0893,11.2305
10,180,Additive+Smooth,0.0880,14.6484
10,200,Additive+Smooth,0.1164,6.4453
11,20,Additive+Smooth,0.1737,35.7422
11,40,Additive+Smooth,0.1315,16.9922
11,60,Additive+Smooth,0.1177,774.9023
11,80,Additive+Smooth,0.0966,24.9023
11,100,Additive+Smooth,0.1170,756.8359
11,120,Additive+Smooth,0.1172,452.6367
11,140,Additive+Smooth,0.1071,749.0234
11,160,Additive+Smooth,0.0852,21.9727
11,180,Additive+Smooth,0.0845,21.4844
11,200,Additive+Smooth,0.0835,21.9727
12,20,Additive+Smooth,0.1861,25.1953
12,40,Additive+Smooth,0.1059,14.6484
12,60,Additive+Smooth,0.1567,25.7812
12,80,Additive+Smooth,0.0805,21.9727
