utility,model,regime,size,rep,RelL2,beta_star
nonsmooth,Smooth,not-perturbed,200,16,0.277110,763.671875
nonsmooth,Additive+Smooth,perturbed,200,2,0.754644,0.976562
nonsmooth,Convex only,perturbed,200,3,0.293436,
nonsmooth,Additive,perturbed,200,3,0.769106,
nonsmooth,Smooth,not-perturbed,200,15,0.271220,914.062500
nonsmooth,Smooth,not-perturbed,200,19,0.281806,912.109375
nonsmooth,Additive+Smooth,perturbed,200,3,0.746369,0.976562
nonsmooth,Additive,perturbed,200,4,0.801570,
nonsmooth,Convex only,perturbed,200,4,0.376554,
nonsmooth,Additive+Smooth,perturbed,200,4,0.769073,0.976562
nonsmooth,Convex only,perturbed,200,5,0.347055,
nonsmooth,Additive,perturbed,200,5,0.779366,
nonsmooth,Smooth,not-perturbed,200,17,0.266395,914.062500
nonsmooth,Additive+Smooth,perturbed,200,5,0.750590,0.976562
nonsmooth,Convex only,perturbed,200,6,0.367906,
nonsmooth,Additive,perturbed,200,6,0.796308,
nonsmooth,Smooth,not-perturbed,200,18,0.277587,832.031250
nonsmooth,Additive+Smooth,perturbed,200,6,0.758874,0.976562
nonsmooth,Convex only,perturbed,200,7,0.440917,
nonsmooth,Additive,perturbed,200,7,0.780480,
nonsmooth,Smooth,perturbed,200,4,0.274156,3.906250
nonsmooth,Additive+Smooth,perturbed,200,7,0.758054,0.976562
nonsmooth,Convex only,perturbed,200,8,0.389052,
nonsmooth,Additive,perturbed,200,8,0.773294,
nonsmooth,Smooth,perturbed,200,5,0.199630,3.906250
nonsmooth,Additive+Smooth,perturbed,200,8,0.751747,0.976562
nonsmooth,Convex only,perturbed,200,9,0.359103,
nonsmooth,Additive,perturbed,200,9,0.793768,
nonsmooth,Smooth,perturbed,200,6,0.239120,3.906250
nonsmooth,Additive+Smooth,perturbed,200,9,0.773098,0.976562
nonsmooth,Convex only,perturbed,200,10,0.381255,
nonsmooth,Additive,perturbed,200,10,0.800515,
nonsmooth,Smooth,not-perturbed,200,14,0.260331,964.843750
nonsmooth,Additive+Smooth,perturbed,200,10,0.709911,0.976562
nonsmooth,Convex only,perturbed,200,11,0.426546,
nonsmooth,Additive,perturbed,200,11,0.737865,
nonsmooth,Smooth,perturbed,200,2,0.282576,70.312500
nonsmooth,Additive+Smooth,perturbed,200,11,0.730164,0.976562
