rep,training_size,model,RelL2,beta_star
9,200,Additive,0.7938,
10,20,Additive,0.6000,
10,40,Additive,0.6295,
10,60,Additive,0.7290,
10,80,Additive,0.7307,
10,100,Additive,0.7348,
10,120,Additive,0.7325,
10,140,Additive,0.7340,
10,160,Additive,0.7327,
10,180,Additive,0.7320,
10,200,Additive,0.8005,
11,20,Additive,0.6198,
11,40,Additive,0.7189,
11,60,Additive,0.7143,
11,80,Additive,0.7241,
11,100,Additive,0.7255,
11,120,Additive,0.7363,
11,140,Additive,0.7450,
11,160,Additive,0.7368,
11,180,Additive,0.7384,
11,200,Additive,0.7379,
12,20,Additive,0.7111,
12,40,Additive,0.7048,
12,60,Additive,0.7085,
12,80,Additive,0.7336,
12,100,Additive,0.7265,
12,120,Additive,0.7266,
12,140,Additive,0.7360,
12,160,Additive,0.7580,
12,180,Additive,0.7784,
12,200,Additive,0.7694,
13,20,Additive,0.6942,
13,40,Additive,0.6475,
13,60,Additive,0.7078,
13,80,Additive,0.7488,
13,100,Additive,0.7542,
13,120,Additive,0.7742,
13,140,Additive,0.7694,
13,160,Additive,0.7771,
13,180,Additive,0.7790,
13,200,Additive,0.7800,
14,20,Additive,0.6880,
14,40,Additive,0.7000,
14,60,Additive,0.7174,
14,80,Additive,0.7287,
14,100,Additive,0.7153,
14,120,Additive,0.7194,
14,140,Additive,0.7471,
14,160,Additive,0.7702,
14,180,Additive,0.7442,
14,200,Additive,0.7722,
15,20,Additive,0.6772,
15,40,Additive,0.6901,
15,60,Additive,0.6896,
15,80,Additive,0.7044,
15,100,Additive,0.7220,
15,120,Additive,0.7373,
15,140,Additive,0.7557,
15,160,Additive,0.7466,
15,180,Additive,0.7779,
15,200,Additive,0.7745,
16,20,Additive,0.6671,
16,40,Additive,0.6230,
16,60,Additive,0.6895,
16,80,Additive,0.7169,
16,100,Additive,0.7105,
16,120,Additive,0.7321,
16,140,Additive,0.7464,
16,160,Additive,0.7849,
16,180,Additive,0.7846,
16,200,Additive,0.7847,
17,20,Additive,0.7371,
17,40,Additive,0.7535,
17,60,Additive,0.7554,
17,80,Additive,0.7637,
17,100,Additive,0.7605,
17,120,Additive,0.7639,
17,140,Additive,0.7699,
17,160,Additive,0.7695,
17,180,Additive,0.7678,
17,200,Additive,0.7727,
18,20,Additive,0.6124,
18,40,Additive,0.6429,
18,60,Additive,0.6977,
18,80,Additive,0.6930,
18,100,Additive,0.7432,
18,120,Additive,0.7610,
18,140,Additive,0.7695,
18,160,Additive,0.7971,
18,180,Additive,0.8022,
18,200,Additive,0.7877,
19,20,Additive,0.6990,
