rep,training_size,model,RelL2,beta_star
13,20,Smooth,0.0894,6.4453
13,40,Smooth,0.1472,13.4766
13,60,Smooth,0.1383,13.4766
13,80,Smooth,0.1257,13.4766
13,100,Smooth,0.1189,13.4766
13,120,Smooth,0.1157,13.4766
13,140,Smooth,0.1108,13.4766
13,160,Smooth,0.1079,13.4766
13,180,Smooth,0.1017,13.4766
13,200,Smooth,0.0987,13.4766
14,20,Smooth,0.0935,7.0312
14,40,Smooth,0.0977,7.6172
14,60,Smooth,0.1038,8.7891
14,80,Smooth,0.1088,9.9609
14,100,Smooth,0.1000,9.9609
14,120,Smooth,0.0977,9.9609
14,140,Smooth,0.0872,9.9609
14,160,Smooth,0.0936,11.1328
14,180,Smooth,0.0926,11.1328
14,200,Smooth,0.0882,11.1328
15,20,Smooth,0.1053,6.4453
15,40,Smooth,0.0971,7.6172
15,60,Smooth,0.1186,9.9609
15,80,Smooth,0.1121,9.9609
15,100,Smooth,0.1115,11.1328
15,120,Smooth,0.1069,11.1328
15,140,Smooth,0.0973,11.1328
15,160,Smooth,0.0976,11.1328
15,180,Smooth,0.0942,11.1328
15,200,Smooth,0.0981,13.4766
16,20,Smooth,0.1372,7.6172
16,40,Smooth,0.1388,13.4766
16,60,Smooth,0.1282,13.4766
16,80,Smooth,0.1185,13.4766
16,100,Smooth,0.1322,19.9219
16,120,Smooth,0.1313,19.9219
16,140,Smooth,0.1271,19.9219
16,160,Smooth,0.1242,19.9219
16,180,Smooth,0.1179,19.9219
16,200,Smooth,0.1176,19.9219
17,20,Smooth,0.0794,6.4453
17,40,Smooth,0.0747,8.2031
17,60,Smooth,0.0998,9.3750
17,80,Smooth,0.0923,9.3750
17,100,Smooth,0.0922,9.9609
17,120,Smooth,0.0870,9.9609
17,140,Smooth,0.0852,9.9609
17,160,Smooth,0.0888,10.5469
17,180,Smooth,0.0971,12.8906
17,200,Smooth,0.0957,12.8906
18,20,Smooth,0.0918,7.0312
18,40,Smooth,0.1129,9.3750
18,60,Smooth,0.1130,10.5469
18,80,Smooth,0.0750,9.3750
18,100,Smooth,0.0712,9.3750
18,120,Smooth,0.0996,11.1328
18,140,Smooth,0.0946,11.1328
18,160,Smooth,0.0920,11.1328
18,180,Smooth,0.0855,11.1328
18,200,Smooth,0.0848,11.1328
19,20,Smooth,0.0792,6.4453
19,40,Smooth,0.1265,11.1328
19,60,Smooth,0.1263,12.8906
19,80,Smooth,0.1222,12.8906
19,100,Smooth,0.1195,12.8906
19,120,Smooth,0.1090,12.8906
19,140,Smooth,0.1284,19.9219
19,160,Smooth,0.1275,19.9219
19,180,Smooth,0.1241,19.9219
19,200,Smooth,0.1177,19.9219
0,20,Additive+Smooth,0.0310,67.3828
0,40,Additive+Smooth,0.0645,263.6719
0,60,Additive+Smooth,0.0563,526.8555
0,80,Additive+Smooth,0.0359,555.1758
0,100,Additive+Smooth,0.0331,645.9961
0,120,Additive+Smooth,0.0240,572.2656
0,140,Additive+Smooth,0.0240,688.4766
0,160,Additive+Smooth,0.0227,746.5820
0,180,Additive+Smooth,0.0206,656.7383
0,200,Additive+Smooth,0.0212,659.1797
1,20,Additive+Smooth,0.0972,70.8984
1,40,Additive+Smooth,0.0284,59.0820
1,60,Additive+Smooth,0.0275,39.5508
1,80,Additive+Smooth,0.0446,179.6875
1,100,Additive+Smooth,0.0433,205.5664
1,120,Additive+Smooth,0.0381,672.3633
1,140,Additive+Smooth,0.0265,689.9414
1,160,Additive+Smooth,0.0257,720.7031
1,180,Additive+Smooth,0.0197,654.2969
1,200,Additive+Smooth,0.0198,200.6836
2,20,Additive+Smooth,0.0845,17.5781
2,40,Additive+Smooth,0.0416,185.5469
2,60,Additive+Smooth,0.0162,17.5781
2,80,Additive+Smooth,0.0179,31.2500
2,100,Additive+Smooth,0.0236,137.6953
