rep,training_size,model,RelL2,beta_star
6,140,Additive,0.0147,
6,160,Additive,0.0138,
6,180,Additive,0.0133,
6,200,Additive,0.0126,
7,20,Additive,0.1057,
7,40,Additive,0.0593,
7,60,Additive,0.0520,
7,80,Additive,0.0311,
7,100,Additive,0.0285,
7,120,Additive,0.0162,
7,140,Additive,0.0155,
7,160,Additive,0.0146,
7,180,Additive,0.0116,
7,200,Additive,0.0108,
8,20,Additive,0.1626,
8,40,Additive,0.0784,
8,60,Additive,0.0667,
8,80,Additive,0.0579,
8,100,Additive,0.0359,
8,120,Additive,0.0345,
8,140,Additive,0.0280,
8,160,Additive,0.0206,
8,180,Additive,0.0163,
8,200,Additive,0.0159,
9,20,Additive,0.1540,
9,40,Additive,0.0826,
9,60,Additive,0.0378,
9,80,Additive,0.0214,
9,100,Additive,0.0190,
9,120,Additive,0.0168,
9,140,Additive,0.0152,
9,160,Additive,0.0140,
9,180,Additive,0.0129,
9,200,Additive,0.0124,
10,20,Additive,0.1576,
10,40,Additive,0.0570,
10,60,Additive,0.0454,
10,80,Additive,0.0379,
10,100,Additive,0.0243,
10,120,Additive,0.0211,
10,140,Additive,0.0183,
10,160,Additive,0.0173,
10,180,Additive,0.0087,
10,200,Additive,0.0082,
11,20,Additive,0.1046,
11,40,Additive,0.0660,
11,60,Additive,0.0480,
11,80,Additive,0.0384,
11,100,Additive,0.0229,
11,120,Additive,0.0214,
11,140,Additive,0.0185,
11,160,Additive,0.0138,
11,180,Additive,0.0126,
11,200,Additive,0.0109,
12,20,Additive,0.0970,
12,40,Additive,0.0597,
12,60,Additive,0.0471,
12,80,Additive,0.0330,
12,100,Additive,0.0315,
12,120,Additive,0.0180,
12,140,Additive,0.0147,
12,160,Additive,0.0127,
12,180,Additive,0.0115,
12,200,Additive,0.0111,
13,20,Additive,0.0988,
13,40,Additive,0.0682,
13,60,Additive,0.0470,
13,80,Additive,0.0364,
13,100,Additive,0.0334,
13,120,Additive,0.0307,
13,140,Additive,0.0291,
13,160,Additive,0.0228,
13,180,Additive,0.0222,
13,200,Additive,0.0204,
14,20,Additive,0.1144,
14,40,Additive,0.0712,
14,60,Additive,0.0564,
14,80,Additive,0.0506,
14,100,Additive,0.0267,
14,120,Additive,0.0167,
14,140,Additive,0.0159,
14,160,Additive,0.0149,
14,180,Additive,0.0141,
14,200,Additive,0.0133,
15,20,Additive,0.1096,
15,40,Additive,0.0610,
15,60,Additive,0.0379,
15,80,Additive,0.0309,
15,100,Additive,0.0279,
15,120,Additive,0.0188,
15,140,Additive,0.0176,
15,160,Additive,0.0160,
15,180,Additive,0.0152,
15,200,Additive,0.0147,
16,20,Additive,0.1173,
16,40,Additive,0.0766,
16,60,Additive,0.0557,
16,80,Additive,0.0513,
16,100,Additive,0.0479,
16,120,Additive,0.0315,
16,140,Additive,0.0284,
16,160,Additive,0.0271,
16,180,Additive,0.0262,
