rep,training_size,model,RelL2,beta_star
11,20,Additive,0.1741,
11,40,Additive,0.1313,
11,60,Additive,0.1311,
11,80,Additive,0.1301,
11,100,Additive,0.1278,
11,120,Additive,0.1223,
11,140,Additive,0.1116,
11,160,Additive,0.1123,
11,180,Additive,0.1104,
11,200,Additive,0.1080,
12,20,Additive,0.1783,
12,40,Additive,0.1371,
12,60,Additive,0.1288,
12,80,Additive,0.1126,
12,100,Additive,0.1217,
12,120,Additive,0.1208,
12,140,Additive,0.1139,
12,160,Additive,0.1149,
12,180,Additive,0.1145,
12,200,Additive,0.1116,
13,20,Additive,0.1520,
13,40,Additive,0.1587,
13,60,Additive,0.1346,
13,80,Additive,0.1224,
13,100,Additive,0.1202,
13,120,Additive,0.1203,
13,140,Additive,0.1158,
13,160,Additive,0.1484,
13,180,Additive,0.1476,
13,200,Additive,0.1494,
14,20,Additive,0.1524,
14,40,Additive,0.1213,
14,60,Additive,0.1135,
14,80,Additive,0.1221,
14,100,Additive,0.1195,
14,120,Additive,0.1188,
14,140,Additive,0.1197,
14,160,Additive,0.1281,
14,180,Additive,0.1248,
14,200,Additive,0.1244,
15,20,Additive,0.1499,
15,40,Additive,0.1193,
15,60,Additive,0.1088,
15,80,Additive,0.1128,
15,100,Additive,0.1126,
15,120,Additive,0.1131,
15,140,Additive,0.1139,
15,160,Additive,0.1162,
15,180,Additive,0.1153,
15,200,Additive,0.1291,
16,20,Additive,0.1461,
16,40,Additive,0.1325,
16,60,Additive,0.1239,
16,80,Additive,0.1308,
16,100,Additive,0.1137,
16,120,Additive,0.1108,
16,140,Additive,0.1146,
16,160,Additive,0.1201,
16,180,Additive,0.1213,
16,200,Additive,0.1182,
17,20,Additive,0.2353,
17,40,Additive,0.1419,
17,60,Additive,0.1292,
17,80,Additive,0.1244,
17,100,Additive,0.1219,
17,120,Additive,0.1174,
17,140,Additive,0.1126,
17,160,Additive,0.1098,
17,180,Additive,0.1086,
17,200,Additive,0.1069,
18,20,Additive,0.1424,
18,40,Additive,0.1235,
18,60,Additive,0.1305,
18,80,Additive,0.1263,
18,100,Additive,0.1211,
18,120,Additive,0.1294,
18,140,Additive,0.1264,
18,160,Additive,0.1264,
18,180,Additive,0.1222,
18,200,Additive,0.1241,
19,20,Additive,0.1618,
19,40,Additive,0.1309,
19,60,Additive,0.1296,
19,80,Additive,0.1191,
19,100,Additive,0.1257,
19,120,Additive,0.1225,
19,140,Additive,0.1093,
19,160,Additive,0.1111,
19,180,Additive,0.1123,
19,200,Additive,0.1116,
0,20,Smooth,0.2428,7.0312
0,40,Smooth,0.1555,9.3750
0,60,Smooth,0.1601,12.3047
0,80,Smooth,0.1733,15.2344
0,100,Smooth,0.1629,15.2344
0,120,Smooth,0.1436,15.2344
0,140,Smooth,0.1383,15.2344
0,160,Smooth,0.1344,15.2344
0,180,Smooth,0.1178,15.2344
0,200,Smooth,0.1127,15.2344
1,20,Smooth,0.2273,8.2031
1,40,Smooth,0.2528,12.8906
1,60,Smooth,0.2032,12.8906
1,80,Smooth,0.1297,12.8906
1,100,Smooth,0.1297,14.0625
1,120,Smooth,0.1190,14.0625
1,140,Smooth,0.1145,14.0625
1,160,Smooth,0.1137,14.0625
1,180,Smooth,0.1114,14.0625
1,200,Smooth,0.1111,15.2344
2,20,Smooth,0.1789,7.6172
2,40,Smooth,0.1859,9.9609
2,60,Smooth,0.1748,9.9609
2,80,Smooth,0.1706,9.9609
2,100,Smooth,0.1984,15.2344
2,120,Smooth,0.1622,15.2344
2,140,Smooth,0.1481,15.2344
2,160,Smooth,0.1213,16.9922
2,180,Smooth,0.1127,16.9922
2,200,Smooth,0.1119,16.9922
3,20,Smooth,0.1561,7.0312
3,40,Smooth,0.1718,9.9609
3,60,Smooth,0.1572,12.8906
3,80,Smooth,0.1624,15.2344
3,100,Smooth,0.1545,15.2344
3,120,Smooth,0.1387,15.2344
3,140,Smooth,0.1360,15.2344
3,160,Smooth,0.1343,15.2344
3,180,Smooth,0.1113,15.2344
3,200,Smooth,0.1132,16.9922
4,20,Smooth,0.2057,7.6172
4,40,Smooth,0.1888,9.8438
4,60,Smooth,0.1735,12.6562
4,80,Smooth,0.0871,10.5469
4,100,Smooth,0.1227,13.4766
4,120,Smooth,0.1133,13.4766
4,140,Smooth,0.1089,13.4766
4,160,Smooth,0.1063,13.4766
4,180,Smooth,0.1194,16.9922
4,200,Smooth,0.1119,16.9922
5,20,Smooth,0.2386,9.3750
5,40,Smooth,0.2310,11.7188
5,60,Smooth,0.2132,11.7188
5,80,Smooth,0.1352,12.3047
5,100,Smooth,0.1248,12.3047
5,120,Smooth,0.1232,12.3047
5,140,Smooth,0.1210,12.3047
5,160,Smooth,0.1174,12.3047
5,180,Smooth,0.1000,13.4766
5,200,Smooth,0.0984,13.4766
6,20,Smooth,0.1704,8.7891
6,40,Smooth,0.1442,8.7891
6,60,Smooth,0.1670,22.8516
6,80,Smooth,0.1551,22.8516
6,100,Smooth,0.1501,22.8516
6,120,Smooth,0.1453,22.8516
6,140,Smooth,0.1360,22.8516
6,160,Smooth,0.1335,22.8516
6,180,Smooth,0.1287,22.8516
6,200,Smooth,0.1220,22.8516
7,20,Smooth,0.0911,6.4453
7,40,Smooth,0.1056,8.2031
7,60,Smooth,0.0961,8.2031
7,80,Smooth,0.1206,11.7188
7,100,Smooth,0.1180,12.3047
7,120,Smooth,0.1106,12.3047
7,140,Smooth,0.1068,12.3047
7,160,Smooth,0.1187,15.2344
7,180,Smooth,0.1095,15.2344
7,200,Smooth,0.1053,15.2344
8,20,Smooth,0.1567,7.6172
8,40,Smooth,0.1437,8.7891
8,60,Smooth,0.1506,10.5469
8,80,Smooth,0.1375,12.8906
8,100,Smooth,0.1348,12.8906
8,120,Smooth,0.1243,12.8906
8,140,Smooth,0.1228,12.8906
8,160,Smooth,0.1193,12.8906
8,180,Smooth,0.1163,12.8906
8,200,Smooth,0.1147,12.8906
9,20,Smooth,0.1484,10.5469
9,40,Smooth,0.1295,10.5469
9,60,Smooth,0.1201,10.5469
9,80,Smooth,0.1265,12.3047
9,100,Smooth,0.1233,12.3047
9,120,Smooth,0.1308,16.9922
9,140,Smooth,0.1272,16.9922
9,160,Smooth,0.1230,16.9922
9,180,Smooth,0.1235,16.9922
9,200,Smooth,0.1320,22.8516
10,20,Smooth,0.2038,11.1328
10,40,Smooth,0.1149,11.1328
10,60,Smooth,0.0917,11.1328
10,80,Smooth,0.1233,11.1328
10,100,Smooth,0.1363,11.1328
10,120,Smooth,0.1668,14.6484
10,140,Smooth,0.1625,14.6484
