rep,training_size,model,RelL2,beta_star
13,80,Additive,0.7552,
13,100,Additive,0.7535,
13,120,Additive,0.7712,
13,140,Additive,0.7780,
13,160,Additive,0.7775,
13,180,Additive,0.7775,
13,200,Additive,0.7801,
14,20,Additive,0.6931,
14,40,Additive,0.6977,
14,60,Additive,0.7190,
14,80,Additive,0.7240,
14,100,Additive,0.7113,
14,120,Additive,0.7128,
14,140,Additive,0.7532,
14,160,Additive,0.7621,
14,180,Additive,0.7741,
14,200,Additive,0.7672,
15,20,Additive,0.6743,
15,40,Additive,0.6824,
15,60,Additive,0.6880,
15,80,Additive,0.6922,
15,100,Additive,0.7070,
15,120,Additive,0.7305,
15,140,Additive,0.7446,
15,160,Additive,0.7424,
15,180,Additive,0.7721,
15,200,Additive,0.7804,
16,20,Additive,0.6641,
16,40,Additive,0.6178,
16,60,Additive,0.6908,
16,80,Additive,0.7165,
16,100,Additive,0.7118,
16,120,Additive,0.7314,
16,140,Additive,0.7426,
16,160,Additive,0.7817,
16,180,Additive,0.7806,
16,200,Additive,0.7792,
17,20,Additive,0.7343,
17,40,Additive,0.7509,
17,60,Additive,0.7529,
17,80,Additive,0.7572,
17,100,Additive,0.7576,
17,120,Additive,0.7581,
17,140,Additive,0.7674,
17,160,Additive,0.7666,
17,180,Additive,0.7644,
17,200,Additive,0.7714,
18,20,Additive,0.6132,
18,40,Additive,0.6421,
18,60,Additive,0.6951,
18,80,Additive,0.6938,
18,100,Additive,0.7501,
18,120,Additive,0.7542,
18,140,Additive,0.7669,
18,160,Additive,0.7980,
18,180,Additive,0.7996,
18,200,Additive,0.7820,
19,20,Additive,0.7048,
19,40,Additive,0.6861,
19,60,Additive,0.7119,
19,80,Additive,0.7091,
19,100,Additive,0.7101,
19,120,Additive,0.7245,
19,140,Additive,0.7535,
19,160,Additive,0.7544,
19,180,Additive,0.7645,
19,200,Additive,0.7547,
0,20,Smooth,0.4394,5.8594
0,40,Smooth,0.4298,251.9531
0,60,Smooth,0.3690,632.8125
0,80,Smooth,0.3447,832.0312
0,100,Smooth,0.3484,970.7031
0,120,Smooth,0.3276,970.7031
0,140,Smooth,0.2955,970.7031
0,160,Smooth,0.2808,970.7031
0,180,Smooth,0.2733,955.0781
0,200,Smooth,0.2679,955.0781
1,20,Smooth,0.4951,13.6719
1,40,Smooth,0.3493,119.1406
1,60,Smooth,0.3719,351.5625
1,80,Smooth,0.3444,421.8750
1,100,Smooth,0.3385,830.0781
